id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Sand & Static,folk,relaxed,0.44,95,0.68,0.55,0.91
12,Neon Jungle,Circuitbreaker,electronic,intense,0.88,140,0.62,0.91,0.07
13,Sunday Afternoon,Paper Lanterns,jazz,happy,0.41,88,0.85,0.61,0.83
14,Frozen Lake,Orbit Bloom,ambient,moody,0.22,55,0.32,0.35,0.95
15,Chasing Thunder,Voltline,rock,intense,0.89,158,0.44,0.69,0.12
16,Lemon Drop Summer,Indigo Parade,pop,happy,0.80,126,0.90,0.85,0.28
17,Late Night Drift,Slow Stereo,synthwave,moody,0.70,108,0.43,0.76,0.19
18,Mountain Echo,Hollow Pines,folk,chill,0.38,82,0.72,0.50,0.88
19,Electric Dreams,Max Pulse,electronic,intense,0.94,145,0.71,0.93,0.04
20,Rainy Window,LoRoom,lofi,focused,0.36,75,0.55,0.57,0.90
